Rank,Batsman,In Strength,PageRank Score,Batting Average
01,V Kohli,228.53397,0.17526,32.57724
02,DA Warner,201.64963,0.06067,35.11765
03,S Dhawan,195.22033,0.04568,30.49099
04,RG Sharma,188.19891,0.03602,26.0
05,MS Dhoni,173.52997,0.02342,22.8952
06,AB de Villiers,173.01813,0.02286,30.12209
07,CH Gayle,163.27827,0.01762,34.46207
08,SK Raina,160.06337,0.01626,27.54229
09,KL Rahul,153.80087,0.01376,37.512
10,RV Uthappa,153.31131,0.01378,25.0202
11,KD Karthik,149.10024,0.01256,20.52119
12,F du Plessis,148.80729,0.01236,33.12319
13,AM Rahane,141.415,0.01082,27.1462
14,SV Samson,131.64407,0.00874,27.11043
15,AT Rayudu,130.58541,0.00861,23.25134
16,G Gambhir,130.46471,0.00856,27.74342
17,MK Pandey,122.37161,0.00732,23.96894
18,SA Yadav,122.20109,0.00718,26.23358
19,SR Watson,120.06514,0.00697,27.13287
20,KA Pollard,116.01529,0.00639,19.64
21,JC Buttler,112.7846,0.00593,33.48598
22,YK Pathan,109.65498,0.00564,20.7871
23,RR Pant,106.06549,0.00515,29.17699
24,RA Jadeja,104.81488,0.00518,16.08152
25,Shubman Gill,104.14495,0.00488,32.16
26,SS Iyer,101.83934,0.00471,26.76068
27,DA Miller,101.67057,0.00477,23.392
28,BB McCullum,96.39847,0.00425,25.96396
29,Q de Kock,95.75423,0.00418,29.25926
30,Yuvraj Singh,93.17581,0.00398,21.68504
31,PA Patel,91.83663,0.00392,20.78832
32,SPD Smith,89.15248,0.00366,26.26316
33,SE Marsh,89.13293,0.00361,35.55714
34,V Sehwag,88.95651,0.00361,26.23077
35,WP Saha,88.61433,0.00371,20.23448
36,M Vijay,87.09802,0.00347,24.70755
37,MA Agarwal,86.83518,0.00352,21.87705
38,N Rana,86.17548,0.0034 ,26.09901
39,DR Smith,85.07521,0.00335,26.79775
40,HH Pandya,84.75424,0.00329,19.34351
41,Ishan Kishan,84.15752,0.00323,26.70707
42,GJ Maxwell,81.91502,0.00315,21.16031
43,AD Russell,80.96652,0.00307,23.4717
44,JP Duminy,79.46974,0.00297,26.35065
45,SR Tendulkar,78.85742,0.0029 ,29.92308
46,RD Gaikwad,78.55478,0.00278,36.61538
47,JH Kallis,77.88895,0.00289,25.28125
48,R Dravid,76.55005,0.00282,26.5122
49,AJ Finch,76.23024,0.00317,22.98901
50,RA Tripathi,74.89931,0.00272,24.04301
51,KS Williamson,72.60662,0.00255,27.33333
52,AC Gilchrist,71.10597,0.00249,25.8625
53,MEK Hussey,69.39228,0.00241,34.08621
54,DPMD Jayawardene,65.25859,0.00225,22.88608
55,MP Stoinis,64.71325,0.00223,21.20455
56,MK Tiwary,62.98212,0.0022 ,19.94118
57,N Pooran,60.38536,0.00194,23.58667
58,KC Sangakkara,59.22715,0.00197,24.80882
59,Mandeep Singh,59.216,0.00202,17.40816
60,JM Bairstow,58.11605,0.00187,31.15686
61,YBK Jaiswal,57.1925,0.00175,30.90385
62,SS Tiwary,56.39205,0.00191,20.46575
63,PP Shaw,56.07833,0.00175,23.65
64,AR Patel,55.93467,0.00188,14.62832
65,KH Pandya,55.15955,0.00183,14.83784
66,D Padikkal,54.86388,0.00171,24.35938
67,NV Ojha,54.84829,0.00181,16.53191
68,S Dube,53.53448,0.00172,24.62295
69,SP Narine,53.00376,0.00173,13.94545
70,EJG Morgan,52.83454,0.00175,18.5
71,KK Nair,52.82403,0.00175,22.0
72,BJ Hodge,52.76791,0.00173,22.22222
73,DJ Bravo,51.92824,0.00174,13.80531
74,S Badrinath,51.43824,0.00161,21.50746
75,DJ Hooda,50.10938,0.00164,15.1134
76,SC Ganguly,49.46124,0.00155,24.08929
77,CA Lynn,49.3609,0.00155,31.64286
78,DJ Hussey,48.66943,0.00158,21.67213
79,Abhishek Sharma,48.52744,0.0015 ,22.57377
80,KM Jadhav,47.36944,0.00158,14.91358
81,VR Iyer,43.97363,0.00129,27.06122
82,SO Hetmyer,43.35002,0.00131,18.83333
83,V Shankar,43.21289,0.0014 ,18.58333
84,Tilak Varma,42.456,0.00124,30.42105
85,IK Pathan,41.81168,0.00136,13.69048
86,R Parag,41.78513,0.00131,20.22414
87,LMP Simmons,41.26675,0.00129,37.2069
88,TM Dilshan,40.97276,0.00124,23.06
89,Y Venugopal Rao,39.82991,0.00126,18.24074
90,ML Hayden,39.56797,0.00116,33.54545
91,LRPL Taylor,39.55547,0.00125,18.83333
92,KP Pietersen,39.16652,0.00124,27.80556
93,MC Henriques,39.01563,0.00127,18.51852
94,MM Ali,38.84255,0.00122,20.38596
95,B Sai Sudharsan,38.71392,0.00115,41.36
96,M Vohra,38.69081,0.00128,21.23529
97,CL White,38.10555,0.00122,21.1087
98,R Tewatia,37.167,0.00114,15.58462
99,AK Markram,37.14243,0.00115,23.69048
100,H Klaasen,36.94004,0.00111,31.03125
101,DP Conway,35.53571,0.00105,42.0
102,A Symonds,35.22495,0.00108,27.05556
103,JA Morkel,35.20998,0.00113,14.13043
104,LS Livingstone,34.95462,0.00107,24.07692
105,STR Binny,34.15674,0.00114,12.94118
106,SM Curran,33.45783,0.00099,18.39583
107,BA Stokes,33.05317,0.00106,21.25
108,RK Singh,32.91779,0.00099,22.325
109,HH Gibbs,31.40534,0.00099,24.61111
110,ST Jayasuriya,31.20443,0.00086,25.6
111,MS Bisla,30.80168,0.00101,20.46154
112,Harbhajan Singh,30.57611,0.00104,9.25556
113,RM Patidar,29.85515,0.00093,33.29167
114,R Ashwin,29.71651,0.00103,8.51064
115,GC Smith,29.21944,0.0009 ,25.48276
116,Shakib Al Hasan,29.09492,0.00099,15.0
117,AD Mathews,28.19488,0.00096,17.2381
118,TM Head,28.12474,0.00093,30.88
119,JM Sharma,27.43528,0.00088,20.27778
120,P Simran Singh,26.4291,0.00086,22.23529
121,MR Marsh,26.41192,0.00093,18.47222
122,GJ Bailey,26.11013,0.0009 ,17.91892
123,AM Nayar,25.53274,0.00087,13.44
124,C Green,25.45691,0.00081,25.25
125,TL Suman,25.12669,0.00085,16.9
126,TH David,24.97986,0.00081,18.82857
127,CH Morris,24.91697,0.00088,12.11765
128,E Lewis,24.44976,0.00082,25.15385
129,PP Chawla,24.059,0.00089,6.78261
130,HM Amla,23.63515,0.00082,36.0625
131,PD Salt,23.49134,0.00072,31.09524
132,A Badoni,23.47859,0.0008 ,18.11429
133,SN Khan,22.78846,0.00079,15.81081
134,JD Ryder,22.69091,0.00079,20.82759
135,JJ Roy,22.51926,0.00079,29.2381
136,Abdul Samad,21.97186,0.00078,14.12195
137,M Shahrukh Khan,21.50874,0.00075,14.55263
138,RS Bopara,21.36209,0.00076,24.13636
139,Rashid Khan,21.24535,0.00076,9.08333
140,JP Faulkner,20.8724,0.00078,11.45652
141,Shahbaz Ahmed,20.86954,0.00074,14.48649
142,OA Shah,20.83187,0.00075,23.0
143,CJ Anderson,20.77053,0.00077,18.55172
144,M Manhas,20.66945,0.00074,13.52632
145,PJ Cummins,20.29602,0.00076,12.56098
146,SW Billings,19.64589,0.00073,18.62963
147,MK Lomror,19.05243,0.0007 ,15.05714
148,PC Valthaty,18.82746,0.0007 ,21.95652
149,Gurkeerat Singh,18.72762,0.00074,15.96875
150,DT Christian,18.1102,0.00073,11.21951
151,RR Rossouw,17.29906,0.0007 ,21.5
152,Shashank Singh,16.99728,0.00063,22.26316
153,NLTC Perera,16.99721,0.0007 ,13.67742
154,J Botha,16.95392,0.00069,14.60714
155,LR Shukla,16.67816,0.00069,11.91176
156,AL Menaria,16.12405,0.00066,17.43478
157,JR Hopes,15.78213,0.00064,21.94737
158,N Wadhera,15.75984,0.0006 ,21.875
